listing_id,name,host_id,host_name,host_since,host_response_rate,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,price,weekly_price,monthly_price,security_deposit
241032,Stylish Queen Anne Apartment,956883,Maija,11-08-2011,96%,47.63628904,-122.3710252,Apartment,Entire home/apt,4,1,1,85,,,
953595,Bright & Airy Queen Anne Apartment,5177328,Andrea,21-02-2013,98%,47.63912312,-122.3656665,Apartment,Entire home/apt,4,1,1,150,1000,3000,100
3308979,New Modern House-Amazing water view,16708587,Jill,12-06-2014,67%,47.62972413,-122.3694832,House,Entire home/apt,11,4.5,5,975,,,1000
7421966,Queen Anne Chateau,9851441,Emily,06-11-2013,,47.6384732,-122.3692791,Apartment,Entire home/apt,3,1,0,100,650,2300,
278830,Charming craftsman 3 bdm house,1452570,Emily,29-11-2011,100%,47.6329184,-122.3724706,House,Entire home/apt,6,2,3,450,,,700
5956968,Private unit in a 1920s mansion,326758,Andrew,25-12-2010,,47.63052548,-122.3661741,House,Private room,2,1,1,120,800,,
1909058,Queen Anne Private Bed and Bath,2497928,Gary And Beth,30-05-2012,100%,47.63660545,-122.3685191,House,Private room,2,1,1,80,575,,150
856550,Tiny Garden cabin on Queen Anne  ,4016632,Jean-Marc,30-10-2012,100%,47.64016054,-122.375856,Cabin,Private room,2,1,1,60,360,,150
4948745,Urban Charm || Downtown || Views,2166277,Aliza,18-04-2012,,47.6324103,-122.3572161,Apartment,Private room,2,1,1,90,500,1700,
2493658,Airy + Bright Queen Anne Apartment,5177328,Andrea,21-02-2013,98%,47.63749172,-122.3668886,Apartment,Entire home/apt,4,1,1,150,1000,3000,100
175576,Private Apartment - Queen Anne Hill,239585,Ray & Eileen,19-09-2010,100%,47.63548171,-122.3584778,House,Entire home/apt,2,1,1,95,595,,
4454295,Upper Queen Anne Craftsman House,4606439,Nadia,06-01-2013,100%,47.63721408,-122.3600458,House,Entire home/apt,2,1,1,99,800,2000,500
3883392,Open Plan 2bdr/1bath in Queen Anne,19932967,Pat & Roberta,13-08-2014,100%,47.63554551,-122.3731708,Apartment,Entire home/apt,4,1,2,245,1575,5800,300
8889257,Elegance in Historic Queen Anne,25899989,Ellie,10-01-2015,100%,47.62950681,-122.3676293,House,Entire home/apt,5,1,2,165,,5000,400
5680462,Stunning 6 bd in THE BEST Location!,22372266,Sarah,10-10-2014,100%,47.63920266,-122.3658627,House,Entire home/apt,16,3.5,6,461,,,1500
8988178,"Lovely Queen Anne Cottage, 2 BR",2983711,Paige,18-07-2012,100%,47.63564979,-122.3728928,House,Entire home/apt,5,1,2,109,,,
3245876,Park Life in Lower Queen Anne,9465817,Libby,16-10-2013,100%,47.62620037,-122.3666019,Apartment,Private room,2,1,1,66,,,100
4933447,"Private Garden Suite, Bay View",25417834,Markus And Melissa,31-12-2014,100%,47.64064588,-122.3724059,House,Private room,2,1,1,99,,,100
